Artist,Title,Lyrics,URL
2 Fast,Burning Up The Night (Total Fire),"One more a burning night
One more a death inside
One more a dream to live
My... own

Baby baby see me cry
Never forget I'm a man now
Baby baby now it's time
For the fight! fight! fight!

Burning up the night
The street's on fire
Burning deep inside
My love's forever

Burning up the night
My hot desire
Burning up my life
Total fire

Burning up the night
My heart's on fire
Burning deep inside
'Till the end of my life

Burning up the night
I'll take you higher
Burning up my life
Take my hand be ready... go!

One more a life to give
One more a love to live
One more a pain inside
My... heart","https://www.eurobeat-prime.com/lyrics.php?lyrics=3411
"
70's Queens Feat. Annalise & Virginelle,Get Up And Move It,"Trying to fight against a day never ending
Watching the time but it's always the same
It never changes, time is endless take me
To fantasy land now

Where there is music and the beat's getting stronger
Day is all gone and the night is much longer
I can dream that you're with me and here
You're here to stay

'Cause there's nothing anyone can say
This is my dream and I can wish away anything
I don't want in my mind
And I'm free now

Get up and move it (you know that you can do it)
Get up and move it
And let the rhythm take you away to fantasy land
You know that ti can so

Get up and move it (you know that you can do it)
Get up and move it
And let the rhythm take you away to fantasy land
You know that it can

Look at me now - well there's a smile on my face and
You show me how to get to that magic place and
I feel young, I'm goin' strong I'm ready
For fantasy land now

Give me the beat and I can get through the day now
Show me the lights and then show me the way now
Dance the night 'till morning light you're with me
You're here to stay","https://www.eurobeat-prime.com/lyrics.php?lyrics=2879
"
7th Heaven,It's My Life,"Don't run to me just when you need me
To save you all the time
Don't call me up just when you want me
To fill up the void in your heart

But this time
It's gonna be the only one
It's gonna be the last and the best of your live
I wanna be the number one
I wanna be the number one king of your heart
You know that

It's my life you're gonna break now
Tell me tell me, why you don't want me
It's my life you're gonna give away

You know baby

It's my life you're gonna break now
Feel me feel me, please don't deny me
It's my life you're gonna spin around
And round and round you don't love me

Don't ket me down just when you want it
Remember who I am
Don't call me up when you need it
Tomorrow you might feel alone","https://www.eurobeat-prime.com/lyrics.php?lyrics=59
"
7th Heaven,Last Christmas,"[Chorus (2x):]
Last Christmas
I gave you my heart
But the very next day you gave it away
This year
To save me from tears
I'll give it to someone special

Once bitten and twice shy
I keep my distance
But you still catch my eye
Tell me, baby,
Do you recognize me?
Well,
It's been a year,
It doesn't surprise me

(Happy Christmas)
I wrapped it up and sent it
With a note saying, ""I love you,""
I meant it
Now I know what a fool I've been
But if you kissed me now
I know you'd fool me again

[Chorus]

Oh baby, oh

A crowded room,
Friends with tired eyes
I'm hiding from you
And your soul of ice
My God, I thought you were someone to rely on
Me? I guess I was a shoulder to cry on

A face on a lover with a fire in his heart
A man under cover but you tore me apart, ooh-hoo
Now I've found a real love, you'll never fool me again

[Chorus 2x]

I gave you my heart
I'll give it to someone special

A face on a lover with a fire in his heart
A man under cover but you tore him apart","https://www.eurobeat-prime.com/lyrics.php?lyrics=4385
"
90 Degrees Feat. Annalise & Mirka,I Am A Pacifist,"Peace! 
Peace!
Peace!
Peace!

Oh Oh Oh
Here I am
To say ""love and peace""
Oh Oh Oh
What I say
I say ""make love and peace""

I am a Pacifist
I'm a Pacifist
I am a Pacifist
I'm a Pacifist
I am a Pacifist

Peace! 
Peace!
Peace!
Peace!

Whoo Whoo 
Here I am
In love and peace
Whoo Whoo
What I say
Make love and peace ","https://www.eurobeat-prime.com/lyrics.php?lyrics=1395
"
A-Beat Boys,Get Somebody,"I wanna dance with you tonite
Baby I need somebody
We got the music all around
The rhythm will play kind of magic

When you're alone and you need to know...
Somebody feels like you
I will be there to love you more 'n' more
Now I tell you

Get somebody
Move your body
Anytime you'll be alive
Get somebody
Shake your body
Open up your eyes tonite

I wanna play with you this time
But I don't wanna loose you
I want to feel your love so much
I need you, I want you, I love you...","https://www.eurobeat-prime.com/lyrics.php?lyrics=543
"
A-Beat Boys,We'll Stop The Time,"So many times you told me
I need to hold you
Over and over we can be
Just a breath away

Waiting for you girl
Waiting for your funny love
Shooting star you are, together
We're gonna fly to San Francisco

Me &amp; you we'll stop the time
Now &amp; ever we'll do better
Me &amp; You we'll shake the time
We can fly into the sky, high

It's like a music village
I need to show you
All I can give for your paradise
Not so far away","https://www.eurobeat-prime.com/lyrics.php?lyrics=272
"
A-Beat C Allstars,It's A Small World,"It's a world of laughter 
A world of tears 
It's a world of hopes 
And a world of fears 
There's so much that we share 
That it's time we're aware 
It's a small world after all 

There is just one moon 
And one golden sun 
And a smile means 
Friendship to every one 
Though the mountains divide 
And the oceans are wide 
It's a small world after all 

It's a small world after 
It's a small world after all 
It's a small world after all 
It's a small, small world ","https://www.eurobeat-prime.com/lyrics.php?lyrics=2070
"
A-Beat Friends,From Japan To Italy,"Now it's time to go
And it's time to know
What we like to do this world is waiting
Take a chance to see there'll be you and me
Moving through the night till the day will come

Baby no baby please don't go
I've found you in my lonely nights
I want to make my dreams come true
You'll never be alone babe

Paris, Montecarlo, London and Rome
Different places but I feel like home
Dance around the world from Japan to Italy
In every place I'll find you
Tokyo, Montecarlo, London and Rome
Different places but I feel like home
Dance around the world from Japan to Italy
Every place is wonderful 'cause you stay with me

When the winter falls
And outside it's cold
Wanna find the way to stay close to you babe
Till the summertime when the sun shines bright
We can feel the heat of our love that's burning","https://www.eurobeat-prime.com/lyrics.php?lyrics=559
"
A-Beat Power,Jungle Night,"Now I am ready
Up and down that's my way
You gotta be ready baby
Easy to dance it
Move it up move it up down
You gotta be easy baby

I can drive your mind
I can keep your time
C'mon baby open your mind I say
You know everyday
I want that you
Kiss me kiss me all night long

JUNGLE NIGHT
Is here the party?
JUNGLE NIGHT
Joy for your body
JUNGLE NIGHT
The night is party
JUNGLE NIGHT
I kiss all your body

Open the disco
Starting for the jungle night
We wanna have fun together
Move it up move it
Look at me and take my style
We ready to jungle night now","https://www.eurobeat-prime.com/lyrics.php?lyrics=1430
"
